Top_N,Category,mean,lower,upper,n_clusters
10,Lineage Noise (TCR/Ig),0.0,0.0,0.0,17
10,Tech Noise (Mito/Ribo),0.11764705882352941,0.0,0.2436820405111408,17
10,Translation Factor,0.011764705882352941,0.0,0.027552003128090082,17
10,State/Stress Noise,0.0,0.0,0.0,17
10,Other Noise,0.0,0.0,0.0,17
20,Lineage Noise (TCR/Ig),0.0029411764705882353,0.0,0.008705882352941174,17
20,Tech Noise (Mito/Ribo),0.14411764705882354,0.010220020513527134,0.27801527360411993,17
20,Translation Factor,0.017647058823529415,0.003235294117647062,0.032058823529411765,17
20,State/Stress Noise,0.0029411764705882353,0.0,0.008705882352941174,17
20,Other Noise,0.014705882352941176,0.000733158058035286,0.028678606647847067,17
30,Lineage Noise (TCR/Ig),0.00392156862745098,0.0,0.009184001042696694,17
30,Tech Noise (Mito/Ribo),0.1392156862745098,0.014165999878796354,0.26426537267022326,17
30,Translation Factor,0.01764705882352941,0.003790430392334473,0.03150368725472435,17
30,State/Stress Noise,0.00784313725490196,0.0,0.018368002085393388,17
30,Other Noise,0.011764705882352941,0.0,0.024217893891058242,17
50,Lineage Noise (TCR/Ig),0.003529411764705882,0.0,0.007265368167317472,17
50,Tech Noise (Mito/Ribo),0.13999999999999999,0.024974253521478168,0.25502574647852183,17
50,Translation Factor,0.02,0.005348117968710521,0.03465188203128948,17
50,State/Stress Noise,0.009411764705882354,0.00259087272066162,0.01623265669110309,17
50,Other Noise,0.011764705882352941,0.00349079641616519,0.020038615348540692,17
100,Lineage Noise (TCR/Ig),0.003529411764705882,0.0,0.007265368167317472,17
100,Tech Noise (Mito/Ribo),0.14941176470588236,0.05199761618432555,0.24682591322743916,17
100,Translation Factor,0.017058823529411765,0.007007715377247387,0.027109931681576143,17
100,State/Stress Noise,0.018235294117647058,0.00811827635335967,0.028352311881934447,17
100,Other Noise,0.008823529411764706,0.0030300717007656058,0.014616987122763806,17
200,Lineage Noise (TCR/Ig),0.01088235294117647,0.0,0.022381098923654308,17
200,Tech Noise (Mito/Ribo),0.11794117647058823,0.05825871960561453,0.17762363333556191,17
200,Translation Factor,0.014705882352941176,0.0064094110556871964,0.023002353650195158,17
200,State/Stress Noise,0.017058823529411765,0.010600809008129437,0.023516838050694093,17
200,Other Noise,0.00911764705882353,0.005432065407207786,0.012803228710439275,17
